Region Code;Region Name;Code of Electoral District;Name of Electoral District;Code of Territorial District;Name of Territorial District;Party Number;Party Name;Votes;Vote Share in %;Party Voters Using their Right of Preferential Voting;Preferential Vote Share in %
1;Region of Bratislava;101;Bratislava;101;Bratislava I;1;Slovenská ľudová strana Andreja Hlinku;18;0.05;14;77,77
1;Region of Bratislava;101;Bratislava;101;Bratislava I;2;DOBRÁ VOĽBA;638;2.1;523;81,97
1;Region of Bratislava;101;Bratislava;101;Bratislava I;3;Sloboda a Solidarita;4566;15.03; 3 799;83,20
1;Region of Bratislava;101;Bratislava;101;Bratislava I;4;SME RODINA;1042;3.43;840;80,61
1;Region of Bratislava;101;Bratislava;101;Bratislava I;5;Slovenské Hnutie Obrody;9;0.02;4;44,44
1;Region of Bratislava;101;Bratislava;101;Bratislava I;6;ZA ĽUDÍ;3849;12.67; 3 260;84,69
1;Region of Bratislava;101;Bratislava;101;Bratislava I;7;MÁME TOHO DOSŤ !;20;0.06;10;50,00
1;Region of Bratislava;101;Bratislava;101;Bratislava I;9;Slovenská národná strana;479;1.57;387;80,79
1;Region of Bratislava;101;Bratislava;101;Bratislava I;10;Demokratická strana;38;0.12;36;94,73
1;Region of Bratislava;101;Bratislava;101;Bratislava I;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;5750;18.93; 5 162;89,77
1;Region of Bratislava;101;Bratislava;101;Bratislava I;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;7172;23.61; 6 412;89,40
1;Region of Bratislava;101;Bratislava;101;Bratislava I;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;16;0.05;13;81,25
1;Region of Bratislava;101;Bratislava;101;Bratislava I;14;99 % - občiansky hlas;12;0.03;11;91,66
1;Region of Bratislava;101;Bratislava;101;Bratislava I;15;Kresťanskodemokratické hnutie;1870;6.15; 1 610;86,09
1;Region of Bratislava;101;Bratislava;101;Bratislava I;16;Slovenská liga;3;0;3;100,00
1;Region of Bratislava;101;Bratislava;101;Bratislava I;17;VLASŤ;654;2.15;537;82,11
1;Region of Bratislava;101;Bratislava;101;Bratislava I;18;MOST - HÍD;241;0.79;202;83,81
1;Region of Bratislava;101;Bratislava;101;Bratislava I;19;SMER - sociálna demokracia;2748;9.04; 2 371;86,28
1;Region of Bratislava;101;Bratislava;101;Bratislava I;20;SOLIDARITA - Hnutie pracujúcej chudoby;14;0.04;7;50,00
1;Region of Bratislava;101;Bratislava;101;Bratislava I;21;HLAS ĽUDU;22;0.07;20;90,90
